timestamp,eqp_id,chamber_id,recipe,MPH,TEMP,PRESSURE,RF_POWER,GAS_FLOW_1,GAS_FLOW_2,CHAMBER_LOAD
2025-06-24 00:00:00,EQP001,A,R102,50.6,419.6,100.98,250.7,34.5,12.5,84.5
2025-06-24 00:05:00,EQP001,A,R101,49.4,422.6,101.88,265.0,36.0,13.5,94.6
2025-06-24 00:10:00,EQP001,A,R101,50.0,420.2,100.55,246.6,32.5,13.1,88.3
2025-06-24 00:15:00,EQP001,A,R103,49.8,420.9,101.24,247.0,34.2,12.2,76.4
2025-06-24 00:20:00,EQP001,A,R103,50.3,421.3,101.06,247.4,33.8,13.6,87.7
2025-06-24 00:25:00,EQP001,A,R102,49.7,419.8,100.27,230.3,38.5,12.7,86.6
2025-06-24 00:30:00,EQP001,A,R102,48.8,419.7,100.58,241.2,33.1,11.5,88.3
2025-06-24 00:35:00,EQP001,A,R102,48.3,420.8,101.22,237.2,36.9,10.9,93.1
2025-06-24 00:40:00,EQP001,A,R102,51.2,422.0,100.65,238.4,33.2,11.2,94.5
2025-06-24 00:45:00,EQP001,A,R102,49.7,420.1,99.89,250.9,34.5,9.9,82.9
2025-06-24 00:50:00,EQP001,A,R102,49.9,421.9,100.33,253.6,36.9,10.1,84.6
2025-06-24 00:55:00,EQP001,A,R103,49.8,418.7,101.36,266.7,33.2,12.1,83.0
2025-06-24 01:00:00,EQP001,A,R102,50.3,421.0,101.0,231.9,33.4,12.2,90.5
2025-06-24 01:05:00,EQP001,A,R103,50.9,420.0,101.94,270.9,36.9,12.2,83.5
2025-06-24 01:10:00,EQP001,A,R103,50.2,421.5,100.76,242.9,36.7,12.2,86.1
2025-06-24 01:15:00,EQP001,A,R102,49.7,420.4,100.78,252.0,36.6,11.5,80.9
2025-06-24 01:20:00,EQP001,A,R102,49.6,421.7,101.33,236.4,35.1,11.1,85.3
2025-06-24 01:25:00,EQP001,A,R101,49.1,420.8,100.83,244.1,33.8,11.7,92.5
2025-06-24 01:30:00,EQP001,A,R101,51.0,418.6,100.93,252.1,35.7,12.6,83.2
2025-06-24 01:35:00,EQP001,A,R102,49.5,421.8,101.27,249.8,32.7,10.8,88.4
2025-06-24 01:40:00,EQP001,A,R101,49.7,422.9,101.15,252.6,36.9,13.1,88.6
2025-06-24 01:45:00,EQP001,A,R103,48.9,419.5,101.11,260.4,33.8,12.6,82.2
